科目名,科目ページURL,前期／後期,開講曜日,開講時限,担当教員
アジア文化史１,29534,0,2,1,志賀　美和子
アジア文化史２,29535,1,2,1,志賀　美和子
アジア史概説１,29508,0,2,2,多田　麻希子
アジア史概説２,29509,1,2,2,多田　麻希子
アジア思想特殊講義１,29021,1,1,3,三田村　圭子
アジア思想特殊講義２,29023,1,4,2,朴　賢珍
アジア思想特殊講義３,29025,1,2,2,矢口　直英
アジア文化研究１,27455,0,3,2,蓮池　隆広
アジア文化研究２,27456,1,3,2,蓮池　隆広
アドバンストスポーツ（アクアスポーツ）,13145,1,3,2,時任　真一郎
アドバンストスポーツ（サッカー）,13146,1,1,3,有山　逸平
アドバンストスポーツ（サッカー）,13147,0,2,3,古賀　初
アドバンストスポーツ（ゴルフ）,13148,1,2,3,古賀　初
アドバンストスポーツ（バレーボール）,13149,0,3,4,後藤　肇
アドバンストスポーツ（バスケットボール）,13150,0,3,3,望月　康司
アドバンストスポーツ（バスケットボール）,13151,1,3,3,後藤　肇
アドバンストスポーツ（バレーボール）,13152,0,1,2,吉田　清司
アドバンストスポーツ（ＰＦＣ）,13153,0,2,3,小西　康仁
アドバンストスポーツ（サッカー）,13154,1,3,3,李　宇ヨン
アドバンストスポーツ（テニス）,13155,1,4,3,栗林　千聡
アドバンストスポーツ（バドミントン）,13156,0,1,3,渡辺　英次
アドバンストスポーツ（バドミントン）,13157,0,4,3,渡辺　英次
アドバンストスポーツ（サッカー）,13158,1,4,3,檜山　康
アドバンストスポーツ（バスケットボール）,13159,0,5,2,樋口　和洋
アドバンストスポーツ（バドミントン）,13160,1,1,3,渡辺　英次
アドバンストスポーツ（バレーボール）,13161,0,5,4,鈴木　淳平
アドバンストスポーツ（バスケットボール）,13162,1,2,3,有山　逸平
アドバンストスポーツ（バドミントン）,13163,1,4,3,渡辺　英次
アドバンストスポーツ（バレーボール）,13164,1,5,4,鈴木　淳平
アドバンストスポーツ（バレーボール）,13165,1,1,2,吉田　清司
アドバンストスポーツ（集中授業スキー）,13166,1,,,平田　大輔
Advanced English a,14559,0,1,2,佐藤　弘明
Advanced English a,14561,0,1,3,中村　政徳
Advanced English a,14563,0,2,1,サマービル，ジェイソン
Advanced English a,14565,0,2,2,藤田　眞理子
Advanced English a,14567,0,2,3,三ツ谷　直子
Advanced English a,14569,0,2,4,三ツ谷　直子
Advanced English a,14571,0,3,2,宮澤　信彦
Advanced English a,14573,0,4,1,宮田　宗彦
Advanced English a,14575,0,4,2,金森　成美
Advanced English a,14577,0,4,3,ハートリ，ライアン
Advanced English a,14579,0,2,3,甲斐　絵理
Advanced English a,14581,0,5,1,三田　良平
Advanced English a,14583,0,5,2,上原　岳
Advanced English a,14585,0,5,4,光本　希勇
Advanced English b,14560,1,1,2,佐藤　弘明
Advanced English b,14562,1,1,3,中村　政徳
Advanced English b,14564,1,2,1,サマービル，ジェイソン
Advanced English b,14566,1,2,2,藤田　眞理子
Advanced English b,14568,1,2,3,三ツ谷　直子
Advanced English b,14570,1,2,4,三ツ谷　直子
Advanced English b,14572,1,3,2,宮澤　信彦
Advanced English b,14574,1,4,1,宮田　宗彦
Advanced English b,14576,1,4,2,金森　成美
Advanced English b,14578,1,4,3,ハートリ，ライアン
Advanced English b,14580,1,2,3,甲斐　絵理
Advanced English b,14582,1,5,1,三田　良平
Advanced English b,14584,1,5,2,上原　岳
Advanced English b,14586,1,5,4,光本　希勇
あなたと自然科学,12305,0,3,5,仲澤　伸子
あなたと自然科学,12306,0,3,5,小田切　健太
あなたと自然科学,12308,0,5,5,佐藤　暢
アニメーション論,30574,1,3,2,松本　淳
アメリカの人種と政治１,29570,0,3,4,南　修平
アメリカの人種と政治２,29571,1,3,4,南　修平
アメリカの歴史と文化１,28190,0,2,5,宮津　多美子
アメリカの歴史と文化２,28191,1,2,5,宮津　多美子
アメリカ文学の世界,28170,0,3,1,中垣　恒太郎
アーカイブ概論,30609,1,2,5,野口　武悟
アーカイブ政策,30615,1,1,2,中和　正彦
アーカイブ総合実習,30639,1,6,1,野口　武悟
アーカイブ発達史,30614,1,5,3,荻原　和樹
アーカイブ法制,30618,1,5,1,鈴木　親彦
アーカイブマネジメント,30619,0,5,1,山崎　隆広
アーカイブ特講,30638,0,4,3,三木　由希子
生きることの日本近代史１,29550,0,1,2,廣川　和花
生きることの日本近代史２,29552,1,1,2,廣川　和花
イギリス文学の世界,28168,0,3,5,道家　英穂
イスラム思想史,29024,0,2,2,矢口　直英
イスラーム史１,29583,0,1,4,松尾　有里子
イスラーム史２,29584,1,1,4,松尾　有里子
一般日本事情１,16740,0,1,4,宇佐美　洋
一般日本事情１,16742,0,2,4,孔　令玉
一般日本事情２,16741,1,1,4,宇佐美　洋
一般日本事情２,16743,1,2,4,孔　令玉
異文化コミュニケーション,28196,1,2,1,上村　妙子
異文化理解の人類学,11853,0,3,5,洪　賢秀
異文化理解の人類学,11854,0,3,4,洪　賢秀
異文化理解の人類学,11855,1,1,2,工藤　由美
異文化理解の人類学,11856,1,3,4,洪　賢秀
English Speaking a,14511,0,1,1,ヒース，ダグラス　Ｒ．
English Speaking a,14513,0,1,3,ヒース，ダグラス　Ｒ．
English Speaking a,14515,0,1,3,カレン，ブライアン　Ｓ．
English Speaking a,14517,0,1,4,ヒース，ダグラス　Ｒ．
English Speaking a,14519,0,2,1,ローズ，ミーガン　Ｃ．
English Speaking a,14521,0,2,2,サマービル，ジェイソン
English Speaking a,14523,0,2,2,ローズ，ミーガン　Ｃ．
English Speaking a,14525,0,2,3,サマービル，ジェイソン
English Speaking a,14527,0,2,3,ローズ，ミーガン　Ｃ．
English Speaking a,14529,0,2,4,サマービル，ジェイソン
English Speaking a,14531,0,2,4,ダフ，ブライアン
English Speaking a,14533,0,4,1,スロボッドニウク，アダム　Ｊ．
English Speaking a,14535,0,4,2,スロボッドニウク，アダム　Ｊ．
English Speaking a,14537,0,4,2,ロッケルマン，ジョン　Ｌ．
English Speaking a,14539,0,4,2,ライアン，ケビン
English Speaking a,14541,0,4,3,スロボッドニウク，アダム　Ｊ．
English Speaking a,14543,0,4,3,ロッケルマン，ジョン　Ｌ．
English Speaking a,14545,0,4,4,スロボッドニウク，アダム　Ｊ．
English Speaking a,14547,0,5,2,ダフ，ブライアン
English Speaking a,14549,0,5,3,カレン，ブライアン　Ｓ．
English Speaking a,14551,0,5,4,ダフ，ブライアン
English Speaking b,14512,1,1,1,ヒース，ダグラス　Ｒ．
English Speaking b,14514,1,1,3,ヒース，ダグラス　Ｒ．
English Speaking b,14516,1,1,3,カレン，ブライアン　Ｓ．
English Speaking b,14518,1,1,4,ヒース，ダグラス　Ｒ．
English Speaking b,14520,1,2,1,ローズ，ミーガン　Ｃ．
English Speaking b,14522,1,2,2,サマービル，ジェイソン
English Speaking b,14524,1,2,2,ローズ，ミーガン　Ｃ．
English Speaking b,14526,1,2,3,サマービル，ジェイソン
English Speaking b,14528,1,2,3,ローズ，ミーガン　Ｃ．
English Speaking b,14530,1,2,4,サマービル，ジェイソン
English Speaking b,14532,1,2,4,ダフ，ブライアン
English Speaking b,14534,1,4,1,スロボッドニウク，アダム　Ｊ．
English Speaking b,14536,1,4,2,スロボッドニウク，アダム　Ｊ．
English Speaking b,14538,1,4,2,ロッケルマン，ジョン　Ｌ．
English Speaking b,14540,1,4,2,ライアン，ケビン
English Speaking b,14542,1,4,3,スロボッドニウク，アダム　Ｊ．
English Speaking b,14544,1,4,3,ロッケルマン，ジョン　Ｌ．
English Speaking b,14546,1,4,4,スロボッドニウク，アダム　Ｊ．
English Speaking b,14548,1,5,2,ダフ，ブライアン
English Speaking b,14550,1,5,3,カレン，ブライアン　Ｓ．
English Speaking b,14552,1,5,4,ダフ，ブライアン
English Presentation a,14601,0,4,1,長谷川　宏
English Presentation b,14602,1,4,1,長谷川　宏
English Writing a,14603,0,2,1,上原　岳
English Writing a,14605,0,2,3,藤田　眞理子
English Writing a,14607,0,5,4,漆原　朗子
English Writing b,14604,1,2,1,上原　岳
English Writing b,14606,1,2,3,藤田　眞理子
English Writing b,14608,1,5,4,漆原　朗子
English Language and Cultures a,14587,0,1,2,中村　政徳
English Language and Cultures a,14589,0,3,4,藤牧　新
English Language and Cultures a,14591,0,4,2,長谷川　宏
English Language and Cultures a,14593,0,4,4,三浦　朝子
English Language and Cultures a,14595,0,5,1,小畑　美貴
English Language and Cultures a,14597,0,5,3,漆原　朗子
English Language and Cultures a,14599,0,5,4,仲川　裕里
English Language and Cultures b,14588,1,1,2,中村　政徳
English Language and Cultures b,14590,1,3,4,藤牧　新
English Language and Cultures b,14592,1,4,2,長谷川　宏
English Language and Cultures b,14594,1,4,4,三浦　朝子
English Language and Cultures b,14596,1,5,1,小畑　美貴
English Language and Cultures b,14598,1,5,3,漆原　朗子
English Language and Cultures b,14600,1,5,4,仲川　裕里
インタビュー論,30539,1,3,1,森　健
Intermediate English (RL) 1a,14101,0,3,1,渡辺　雅仁
Intermediate English (RL) 1a,14103,0,3,1,山本　満登香
Intermediate English (RL) 1a,14105,0,3,1,和泉　周子
Intermediate English (RL) 1a,14107,0,3,1,金田　迪子
Intermediate English (RL) 1a,14109,0,3,1,下山　千恵
Intermediate English (RL) 1a,14111,0,3,1,金森　成美
Intermediate English (RL) 1a,14113,0,3,1,冨塚　博之
Intermediate English (RL) 1a,14115,0,3,1,清水　由布紀
Intermediate English (RL) 1a,14117,0,3,1,大久保　譲
Intermediate English (RL) 1a,14119,0,3,1,ヒース，ダグラス　Ｒ．
Intermediate English (RL) 1a,14125,0,3,2,小田井　勝彦
Intermediate English (RL) 1a,14127,0,3,2,鷲尾　郁
Intermediate English (RL) 1a,14129,0,3,2,奥　景子
Intermediate English (RL) 1a,14131,0,3,2,金森　成美
Intermediate English (RL) 1a,14133,0,3,2,ライアン，ケビン
Intermediate English (RL) 1a,14135,0,3,2,ヒース，ダグラス　Ｒ．
Intermediate English (RL) 1a,14137,0,3,2,道家　英穂
Intermediate English (RL) 1b,14102,1,3,1,渡辺　雅仁
Intermediate English (RL) 1b,14104,1,3,1,山本　満登香
Intermediate English (RL) 1b,14106,1,3,1,和泉　周子
Intermediate English (RL) 1b,14108,1,3,1,金田　迪子
Intermediate English (RL) 1b,14110,1,3,1,下山　千恵
Intermediate English (RL) 1b,14112,1,3,1,金森　成美
Intermediate English (RL) 1b,14114,1,3,1,冨塚　博之
Intermediate English (RL) 1b,14116,1,3,1,清水　由布紀
Intermediate English (RL) 1b,14118,1,3,1,大久保　譲
Intermediate English (RL) 1b,14120,1,3,1,ヒース，ダグラス　Ｒ．
Intermediate English (RL) 1b,14126,1,3,2,小田井　勝彦
Intermediate English (RL) 1b,14128,1,3,2,鷲尾　郁
Intermediate English (RL) 1b,14130,1,3,2,奥　景子
Intermediate English (RL) 1b,14132,1,3,2,金森　成美
Intermediate English (RL) 1b,14134,1,3,2,ライアン，ケビン
Intermediate English (RL) 1b,14136,1,3,2,ヒース，ダグラス　Ｒ．
Intermediate English (RL) 1b,14138,1,3,2,道家　英穂
Intermediate English (SW) 1a,14255,0,5,2,小林　正弘
Intermediate English (SW) 1a,14257,0,5,2,小川　真也
Intermediate English (SW) 1a,14259,0,5,2,河原　宏之
Intermediate English (SW) 1a,14261,0,5,2,近藤　章子
Intermediate English (SW) 1a,14263,0,5,2,柴田　奈津美
Intermediate English (SW) 1a,14265,0,5,2,光本　希勇
Intermediate English (SW) 1a,14267,0,5,2,山田　恵摩
Intermediate English (SW) 1a,14269,0,5,2,ハートリ，ライアン
Intermediate English (SW) 1a,14271,0,5,2,ロッケルマン，ジョン　Ｌ．
Intermediate English (SW) 1a,14273,0,5,2,カレン，ブライアン　Ｓ．
Intermediate English (SW) 1a,14279,0,5,1,光本　希勇
Intermediate English (SW) 1a,14281,0,5,1,近藤　章子
Intermediate English (SW) 1a,14283,0,5,1,河原　宏之
Intermediate English (SW) 1a,14285,0,5,1,山田　恵摩
Intermediate English (SW) 1a,14287,0,5,1,ハートリ，ライアン
Intermediate English (SW) 1a,14289,0,5,1,ロッケルマン，ジョン　Ｌ．
Intermediate English (SW) 1a,14291,0,5,1,カレン，ブライアン　Ｓ．
Intermediate English (SW) 1b,14256,1,5,2,小林　正弘
Intermediate English (SW) 1b,14258,1,5,2,小川　真也
Intermediate English (SW) 1b,14260,1,5,2,河原　宏之
Intermediate English (SW) 1b,14262,1,5,2,近藤　章子
Intermediate English (SW) 1b,14264,1,5,2,柴田　奈津美
Intermediate English (SW) 1b,14266,1,5,2,光本　希勇
Intermediate English (SW) 1b,14268,1,5,2,山田　恵摩
Intermediate English (SW) 1b,14270,1,5,2,ハートリ，ライアン
Intermediate English (SW) 1b,14272,1,5,2,ロッケルマン，ジョン　Ｌ．
Intermediate English (SW) 1b,14274,1,5,2,カレン，ブライアン　Ｓ．
Intermediate English (SW) 1b,14280,1,5,1,光本　希勇
Intermediate English (SW) 1b,14282,1,5,1,近藤　章子
Intermediate English (SW) 1b,14284,1,5,1,河原　宏之
Intermediate English (SW) 1b,14286,1,5,1,山田　恵摩
Intermediate English (SW) 1b,14288,1,5,1,ハートリ，ライアン
Intermediate English (SW) 1b,14290,1,5,1,ロッケルマン，ジョン　Ｌ．
Intermediate English (SW) 1b,14292,1,5,1,カレン，ブライアン　Ｓ．
インターンシップ,30527,0,4,2,松本　淳
インド思想史,29022,0,4,2,朴　賢珍
インドネシア語初級１ａ,16393,0,1,3,小笠原　健二
インドネシア語初級１ａ（再）,16394,0,1,3,小笠原　健二
インドネシア語初級１ａ（再）,16400,0,1,4,小笠原　健二
インドネシア語初級１ａ（再）,16406,0,1,5,小笠原　健二
インドネシア語初級１ｂ,16396,1,1,3,小笠原　健二
インドネシア語初級１ｂ（再）,16397,1,1,3,小笠原　健二
インドネシア語初級１ｂ（再）,16403,1,1,4,小笠原　健二
インドネシア語初級１ｂ（再）,16409,1,1,5,小笠原　健二
インドネシア語初級２ａ（再）,16412,0,3,1,蓮池　隆広
インドネシア語初級２ａ,16417,0,5,3,クットリル，イメルダ
インドネシア語初級２ａ（再）,16418,0,5,3,クットリル，イメルダ
インドネシア語初級２ａ,16423,0,5,4,クットリル，イメルダ
インドネシア語初級２ａ（再）,16424,0,5,4,クットリル，イメルダ
インドネシア語初級２ｂ（再）,16415,1,3,1,蓮池　隆広
インドネシア語初級２ｂ,16420,1,5,3,クットリル，イメルダ
インドネシア語初級２ｂ（再）,16421,1,5,3,クットリル，イメルダ
インドネシア語初級２ｂ,16426,1,5,4,クットリル，イメルダ
インドネシア語初級２ｂ（再）,16427,1,5,4,クットリル，イメルダ
インドネシア語上級１ａ,15498,0,2,4,フェロニカ・Ｒ・Ｋ
インドネシア語上級１ａ,16699,0,4,2,フェロニカ・Ｒ・Ｋ
インドネシア語上級１ｂ,15499,1,2,4,フェロニカ・Ｒ・Ｋ
インドネシア語上級１ｂ,16700,1,4,2,フェロニカ・Ｒ・Ｋ
インドネシア語中級１ａ,16649,0,5,2,クットリル，イメルダ
インドネシア語中級１ｂ,16651,1,5,2,クットリル，イメルダ
インドネシア語中級２ａ,16653,0,1,2,小笠原　健二
インドネシア語中級２ｂ,16655,1,1,2,小笠原　健二
ウエブジャーナリズム論,30561,0,5,2,荻原　和樹
ウエブデザイン,30582,0,4,1,小沼　良次
宇宙地球科学１ａ,12378,0,3,5,大月　祥子
宇宙地球科学１ａ,12381,0,5,4,大月　祥子
宇宙地球科学１ａ,12384,0,5,5,大月　祥子
宇宙地球科学１ｂ,12387,1,3,5,大月　祥子
宇宙地球科学１ｂ,12390,1,5,4,大月　祥子
宇宙地球科学１ｂ,12393,1,5,5,大月　祥子
宇宙地球科学２ａ,12396,0,1,3,佐藤　暢
宇宙地球科学２ａ,12399,0,5,3,佐藤　暢
宇宙地球科学２ｂ,12402,1,1,3,佐藤　暢
宇宙地球科学２ｂ,12405,1,5,3,佐藤　暢
宇宙地球科学Ａ１,12377,0,3,5,大月　祥子
宇宙地球科学Ａ１,12380,0,5,4,大月　祥子
宇宙地球科学Ａ１,12383,0,5,5,大月　祥子
宇宙地球科学Ａ２,12386,1,3,5,大月　祥子
宇宙地球科学Ａ２,12389,1,5,4,大月　祥子
宇宙地球科学Ａ２,12392,1,5,5,大月　祥子
宇宙地球科学Ｂ１,12395,0,1,3,佐藤　暢
宇宙地球科学Ｂ１,12398,0,5,3,佐藤　暢
宇宙地球科学Ｂ２,12401,1,1,3,佐藤　暢
宇宙地球科学Ｂ２,12404,1,5,3,佐藤　暢
映画研究１,27467,0,3,4,北村　匡平
映画研究２,27468,1,3,4,北村　匡平
英語の音声,28184,0,4,5,三浦　弘
英語のしくみ,28182,1,3,2,小畑　美貴
英語の変遷史,28186,0,4,4,菊地　翔太
英語学の諸問題１,28206,1,4,4,菊地　翔太
英語学の諸問題２,28208,1,4,5,三浦　弘
英語教育の研究と実践１,28192,0,3,2,片桐　一彦
英語教育の研究と実践２,28193,1,3,2,片桐　一彦
英語圏文学への招待,11782,0,3,5,大須賀　寿子
英国・英語圏の文学と文化,28166,1,3,5,道家　英穂
映像ジャーナリズム論,30542,0,4,4,山田　健太
映像特殊実習,30584,1,5,5,白井　康彦
映像表現技法,30579,1,5,3,白井　康彦
映像文化論,29059,1,4,2,山本　祐輝
英文法のしくみ,28180,0,3,2,小畑　美貴
英米映画論１,28198,0,5,3,末廣　幹
英米映画論２,28199,1,5,3,末廣　幹
英米研究特殊講義３,28220,0,2,2,石塚　久郎
英米研究特殊講義４,28221,1,2,2,石塚　久郎
英米の小説・詩・演劇,28176,1,5,2,大久保　譲
英米ポップカルチャー論１,28178,0,1,2,馬場　聡
英米ポップカルチャー論２,28179,1,1,2,馬場　聡
英米文学文化特殊講義５,28204,0,4,2,渡邉　真理子
英米文学文化特殊講義６,28205,1,4,2,渡邉　真理子
演劇研究１,27463,0,5,2,小山内　伸
演劇研究２,27464,1,5,2,小山内　伸
欧米文化史１,29536,0,4,1,松本　礼子
欧米文化史２,29537,1,4,1,松本　礼子
欧米史概説１,29510,0,3,3,南　修平
欧米史概説２,29511,1,3,3,南　修平
応用実習,30512,0,5,3,村上　賢司
応用実習,30513,0,5,4,村上　賢司
応用実習,30514,0,5,5,村上　賢司
応用日本語表現１,16786,0,3,3,坂田　睦深
応用日本語表現２,16787,1,3,3,坂田　睦深
応用日本語理解１,16784,0,2,3,孔　令玉
応用日本語理解２,16785,1,2,3,孔　令玉
応用心理学入門,11800,1,4,2,齋藤　優実
応用心理学入門,11801,1,2,2,田中　嘉彦
応用心理学入門,11803,1,3,1,市村　彰英
応用心理学入門,11805,1,5,5,綾瀬　泉
応用心理学入門,11807,1,4,1,齋藤　優実
応用心理学入門,11809,1,3,2,小林　晃洋
応用心理学入門,11811,1,2,4,田中　嘉彦
応用心理学入門,11813,1,3,5,小林　晃洋
応用心理学入門,11816,1,4,3,齋藤　優実
応用心理学入門,11818,0,1,2,伊藤　忠弘
応用測量学,30063,0,5,3,縫村　崇行
沖縄ジャーナリズム論,30552,0,,,山田　健太
音楽論,29039,1,5,2,清水　康宏
科学哲学,29037,1,1,4,金子　洋之
化学１ａ,12408,0,5,4,蒼見　桂子
化学１ａ,12411,0,3,1,阿藤　正道
化学１ｂ,12414,1,5,4,蒼見　桂子
化学１ｂ,12417,1,3,1,阿藤　正道
化学２ａ,12420,0,1,1,阿藤　正道
化学２ａ,12423,0,4,1,松本　幸三
化学２ｂ,12426,1,1,1,阿藤　正道
化学２ｂ,12429,1,4,1,松本　幸三
化学Ａ１,12407,0,5,4,蒼見　桂子
化学Ａ１,12410,0,3,1,阿藤　正道
化学Ａ２,12413,1,5,4,蒼見　桂子
化学Ａ２,12416,1,3,1,阿藤　正道
化学Ｂ１,12419,0,1,1,阿藤　正道
化学Ｂ１,12422,0,4,1,松本　幸三
化学Ｂ２,12425,1,1,1,阿藤　正道
化学Ｂ２,12428,1,4,1,松本　幸三
科学とメディア,30633,1,4,4,三木　由希子
科学論１ａ,12492,0,2,1,大井　万紀人
科学論１ａ,12495,1,2,2,大井　万紀人
科学論１ａ,12498,0,3,3,仲澤　伸子
科学論１ａ,12501,0,3,2,仲澤　伸子
科学論１ｂ,12504,0,1,2,大井　万紀人
科学論１ｂ,12507,0,2,2,大井　万紀人
科学論１ｂ,12510,1,2,1,大井　万紀人
科学論１ｂ,12513,1,5,3,仲澤　伸子
科学論２ａ,12516,0,1,3,小林　昭裕
科学論２ａ,12519,0,2,3,小林　昭裕
科学論２ｂ,12522,1,4,3,小林　昭裕
科学論２ｂ,12525,1,5,3,小林　昭裕
科学論Ａ１,12491,0,2,1,大井　万紀人
科学論Ａ１,12494,1,2,2,大井　万紀人
科学論Ａ１,12497,0,3,3,仲澤　伸子
科学論Ａ１,12500,0,3,2,仲澤　伸子
科学論Ａ２,12503,0,1,2,大井　万紀人
科学論Ａ２,12506,0,2,2,大井　万紀人
科学論Ａ２,12509,1,2,1,大井　万紀人
科学論Ａ２,12512,1,5,3,仲澤　伸子
科学論Ｂ１,12515,0,1,3,小林　昭裕
科学論Ｂ１,12518,0,2,3,小林　昭裕
