科目名,科目ページURL,前期／後期,開講曜日,開講時限,担当教員
データサイエンス実践,10677,1,2,3,市川　収
データサイエンス実践,10678,1,2,3,藤井　達也
データサイエンス実践,10679,1,2,4,山本　美紀
データサイエンス実践,10680,1,2,4,岡田　伊策
データサイエンス実践,10681,1,2,4,市川　収
データサイエンス実践,10682,1,2,4,最上　健児
データサイエンス実践,10683,1,3,1,御園生　純
データサイエンス実践,10684,1,4,1,御園生　純
データサイエンス実践,10685,1,4,1,下田　俊樹
データサイエンス実践,10686,1,4,2,御園生　純
データサイエンス実践,10687,1,4,2,下田　俊樹
データサイエンス実践,10688,1,4,2,片岡　寛子
データサイエンス実践,10689,1,4,2,森　一将
データサイエンス実践,10690,1,4,2,出内　将夫
データサイエンス実践,10691,1,4,3,森　一将
データサイエンス実践,10692,1,4,3,黒崎　茂樹
データサイエンス実践,10693,1,4,4,森　一将
データサイエンス実践,10694,1,4,4,黒崎　茂樹
データサイエンス入門,10561,0,1,1,黒崎　茂樹
データサイエンス入門,10562,0,1,1,岡戸　順一
データサイエンス入門,10563,0,1,2,黒崎　茂樹
データサイエンス入門,10564,0,1,2,岡戸　順一
データサイエンス入門,10565,0,1,3,黒崎　茂樹
データサイエンス入門,10566,0,1,3,開　和生
データサイエンス入門,10567,0,1,3,横井　利彰
データサイエンス入門,10568,0,1,4,黒崎　茂樹
データサイエンス入門,10569,0,1,4,開　和生
データサイエンス入門,10570,0,1,4,横井　利彰
データサイエンス入門,10571,0,2,1,新保　好美
データサイエンス入門,10572,0,2,2,新保　好美
データサイエンス入門,10573,0,2,3,坂本　航太郎
データサイエンス入門,10574,0,2,3,山本　美紀
データサイエンス入門,10575,0,2,3,最上　健児
データサイエンス入門,10576,0,2,3,佐々木　健太
データサイエンス入門,10577,0,2,3,市川　収
データサイエンス入門,10578,0,2,3,藤井　達也
データサイエンス入門,10579,0,2,4,山本　美紀
データサイエンス入門,10580,0,2,4,岡田　伊策
データサイエンス入門,10581,0,2,4,市川　収
データサイエンス入門,10582,0,2,4,最上　健児
データサイエンス入門,10583,0,3,1,御園生　純
データサイエンス入門,10584,0,4,1,御園生　純
データサイエンス入門,10585,0,4,1,下田　俊樹
データサイエンス入門,10586,0,4,2,御園生　純
データサイエンス入門,10587,0,4,2,下田　俊樹
データサイエンス入門,10588,0,4,2,片岡　寛子
データサイエンス入門,10589,0,4,2,森　一将
データサイエンス入門,10590,0,4,2,出内　将夫
データサイエンス入門,10591,0,4,3,森　一将
データサイエンス入門,10592,0,4,3,黒崎　茂樹
データサイエンス入門,10593,0,4,4,森　一将
データサイエンス入門,10594,0,4,4,黒崎　茂樹
データ分析入門,10451,0,1,1,伊藤　尚枝
データ分析入門,10452,1,1,1,伊藤　尚枝
特別総合講義,28226,0,4,5,渡邉　真理子
特別支援教育論,37259,1,4,4,角田　真紀子
特別支援教育論,37260,1,4,5,角田　真紀子
都市環境学１,30031,0,5,2,小泉　諒
都市環境学２,30032,1,5,2,小泉　諒
図書館概論,37705,0,4,2,荻原　幸子
図書館基礎特論,37745,1,4,3,荻原　幸子
図書館サービス概論,37713,0,5,3,荻原　幸子
図書館サービス特論,37751,1,2,3,野口　武悟
図書館情報技術論,37709,1,4,4,日向　良和
図書館情報資源概論,37739,1,4,2,荻原　幸子
図書館情報資源特論,37757,1,1,2,桑原　芳哉
図書館制度・経営論,37763,0,4,3,荻原　幸子
ドイツ語初級１ａ,16005,0,1,2,藤由　順子
ドイツ語初級１ａ,16007,0,1,3,山本　裕子
ドイツ語初級１ａ,16009,0,5,1,田中　李奈
ドイツ語初級１ａ,16011,0,5,2,糸瀬　龍
ドイツ語初級１ａ,16013,0,5,3,糸瀬　龍
ドイツ語初級１ａ（再）,16035,0,1,5,小出　昌弘
ドイツ語初級１ａ（再）,16043,0,5,4,糸瀬　龍
ドイツ語初級１ｂ,16006,1,1,2,藤由　順子
ドイツ語初級１ｂ,16008,1,1,3,山本　裕子
ドイツ語初級１ｂ,16010,1,5,1,田中　李奈
ドイツ語初級１ｂ,16012,1,5,2,糸瀬　龍
ドイツ語初級１ｂ,16014,1,5,3,糸瀬　龍
ドイツ語初級１ｂ（再）,16039,1,1,5,小出　昌弘
ドイツ語初級１ｂ（再）,16047,1,5,4,糸瀬　龍
ドイツ語初級２ａ,16023,0,1,2,宮下　寛司
ドイツ語初級２ａ,16025,0,1,3,宮下　寛司
ドイツ語初級２ａ,16027,0,1,3,勅使川原　聖子
ドイツ語初級２ａ,16029,0,5,1,杉田　芳樹
ドイツ語初級２ａ,16031,0,5,3,田中　李奈
ドイツ語初級２ａ（再）,16049,0,1,4,勅使川原　聖子
ドイツ語初級２ａ（再）,16053,0,5,2,杉田　芳樹
ドイツ語初級２ｂ,16024,1,1,2,宮下　寛司
ドイツ語初級２ｂ,16026,1,1,3,宮下　寛司
ドイツ語初級２ｂ,16028,1,1,3,勅使川原　聖子
ドイツ語初級２ｂ,16030,1,5,1,杉田　芳樹
ドイツ語初級２ｂ,16032,1,5,3,田中　李奈
ドイツ語初級２ｂ（再）,16051,1,1,4,勅使川原　聖子
ドイツ語初級２ｂ（再）,16055,1,5,2,杉田　芳樹
ドイツ語上級１ａ,16689,0,2,2,岡村　りら
ドイツ語上級１ｂ,15489,1,3,4,岡村　りら
ドイツ語上級１ｂ,16690,1,2,2,岡村　りら
ドイツ語中級１ａ,16529,0,1,2,勅使川原　聖子
ドイツ語中級１ａ,16533,0,1,3,藤由　順子
ドイツ語中級１ａ,16537,0,3,3,柴田　隆子
ドイツ語中級１ｂ,16531,1,1,2,勅使川原　聖子
ドイツ語中級１ｂ,16535,1,1,3,藤由　順子
ドイツ語中級１ｂ,16539,1,3,3,柴田　隆子
ドイツ語中級２ａ,16541,0,1,4,小出　昌弘
ドイツ語中級２ａ,16545,0,5,2,田中　李奈
ドイツ語中級２ａ,16549,0,5,3,杉田　芳樹
ドイツ語中級２ｂ,16543,1,1,4,小出　昌弘
ドイツ語中級２ｂ,16547,1,5,2,田中　李奈
ドイツ語中級２ｂ,16551,1,5,3,杉田　芳樹
読書と豊かな人間性,38009,1,1,4,畔田　暁子
日本思想史１,29018,0,5,2,出岡　宏
日本思想史２,29019,1,5,2,出岡　宏
日本の思想（近現代以前）,29026,1,4,4,長谷川　徹
日本の宗教と社会,29582,0,1,2,中林　隆之
日本の伝統芸能,29028,0,4,5,出岡　宏
日本文化史１,29532,0,4,5,西坂　靖
日本文化史２,29533,1,4,5,西坂　靖
日本近世の政治と社会１,29548,0,5,4,西坂　靖
日本近世の政治と社会２,29549,1,5,4,西坂　靖
日本近代の政治と社会１,29555,0,3,2,鬼嶋　淳
日本近代の政治と社会２,29557,1,3,2,鬼嶋　淳
日本国憲法,11859,0,3,4,松本　奈津希
日本国憲法,11861,0,3,5,松本　奈津希
日本古代の国家と社会１,29540,0,5,5,田中　禎昭
日本古代の国家と社会２,29542,1,5,5,田中　禎昭
日本古代の国家と宗教１,29544,0,3,4,中林　隆之
日本古代の国家と宗教２,29545,1,3,4,中林　隆之
日本語音声理解１,16754,0,1,3,王　伸子
日本語音声理解１,16756,0,1,2,坂田　睦深
日本語音声理解１,16758,0,5,3,戸田　隼介
日本語音声理解１,16760,0,3,1,坂田　睦深
日本語音声理解１,16762,0,3,4,小川　都
日本語音声理解２,16755,1,1,3,王　伸子
日本語音声理解２,16757,1,1,2,坂田　睦深
日本語音声理解２,16759,1,5,3,戸田　隼介
日本語音声理解２,16761,1,3,1,坂田　睦深
日本語音声理解２,16763,1,3,4,小川　都
日本語教育実習Ａ,27035,,1,2,八田　直美
日本語教育実習Ｂ,27036,,4,2,高橋　雄一
日本語教材研究１,27033,0,4,2,藤本　かおる
日本語教材研究２,27034,1,4,2,藤本　かおる
日本語教授法Ａ－１,27027,0,1,4,八田　直美
日本語教授法Ａ－１,27028,0,4,4,八田　直美
日本語教授法Ａ－２,27029,1,1,4,八田　直美
日本語教授法Ａ－２,27030,1,4,4,八田　直美
日本語教授法Ｂ－１,27031,0,2,3,小川　都
日本語教授法Ｂ－２,27032,1,2,3,小川　都
日本語口頭表現１,16764,0,1,1,坂田　睦深
日本語口頭表現１,16766,0,1,4,山下　治之
日本語口頭表現１,16768,0,1,5,山下　治之
日本語口頭表現１,16770,0,5,4,戸田　隼介
日本語口頭表現１,16772,0,2,2,孔　令玉
日本語口頭表現２,16765,1,1,1,坂田　睦深
日本語口頭表現２,16767,1,1,4,山下　治之
日本語口頭表現２,16769,1,1,5,山下　治之
日本語口頭表現２,16771,1,5,4,戸田　隼介
日本語口頭表現２,16773,1,2,2,孔　令玉
日本語情報処理応用１,27006,0,4,3,丸山　岳彦
日本語情報処理応用２,27007,1,4,3,丸山　岳彦
日本語の語彙・意味２,27021,1,4,2,丸山　岳彦
日本語の資料研究Ｃ－１,27042,0,4,1,岡田　一祐
日本語の資料研究Ｃ－２,27043,1,4,1,岡田　一祐
日本語の文法２,27001,1,4,4,高橋　雄一
日本語の文字・表記２,27049,1,3,3,斎藤　達哉
日本語文章表現１,16774,0,2,2,中之内　夏美
日本語文章表現１,16776,0,2,3,中之内　夏美
日本語文章表現１,16778,0,1,3,山田　昭子
日本語文章表現１,16780,0,2,4,中之内　夏美
日本語文章表現１,16782,0,2,1,山田　昭子
日本語文章表現２,16775,1,2,2,中之内　夏美
日本語文章表現２,16777,1,2,3,中之内　夏美
日本語文章表現２,16779,1,1,3,山田　昭子
日本語文章表現２,16781,1,2,4,中之内　夏美
日本語文章表現２,16783,1,2,1,山田　昭子
日本語文章理解１,16744,0,2,2,山田　昭子
日本語文章理解１,16746,0,1,2,宇佐美　洋
日本語文章理解１,16748,0,3,2,坂田　睦深
日本語文章理解１,16750,0,5,3,大塚　明子
日本語文章理解１,16752,0,1,3,宇佐美　洋
日本語文章理解２,16745,1,2,2,山田　昭子
日本語文章理解２,16747,1,1,2,宇佐美　洋
日本語文章理解２,16749,1,3,2,坂田　睦深
日本語文章理解２,16751,1,5,3,大塚　明子
日本語文章理解２,16753,1,1,3,宇佐美　洋
日本語学概論１,27481,0,5,4,木村　一
日本語学概論２,27482,1,5,4,木村　一
日本史概説１,29506,0,5,4,田中　禎昭
日本史概説２,29507,1,5,4,田中　禎昭
日本中世の法と政治１,29546,0,1,3,湯浅　治久
日本中世の法と政治２,29547,1,1,3,湯浅　治久
日本の文化,11751,0,5,3,幸森　軍也
日本の文化,11753,1,4,2,日向　雅之
日本の文化,11755,0,4,2,日向　雅之
日本の文化,11757,1,5,3,幸森　軍也
日本の文学,11759,1,5,5,川上　隆志
日本の文学,11760,1,4,3,宇野　瑞木
日本の文学,11761,0,4,3,宇野　瑞木
日本文化研究１,27447,0,5,2,川上　隆志
日本文化研究２,27448,1,5,2,川上　隆志
日本文化研究３,27449,0,4,2,桐山　桂一
日本文化研究４,27450,1,4,2,桐山　桂一
日本文化研究５,27451,0,3,2,大浦　誠士
日本文化研究６,27452,1,3,2,大浦　誠士
日本文化研究７,27453,0,5,3,前田　恭二
日本文化研究８,27454,1,5,3,前田　恭二
日本文化講義１,27408,0,3,3,丸井　貴史
日本文化講義２,27409,1,3,3,丸井　貴史
日本文化講義３,27410,0,4,4,蔦尾　和宏
日本文化講義４,27411,1,4,4,蔦尾　和宏
日本文化講義５,27412,0,1,5,山田　昭子
日本文化講義６,27413,1,2,4,奥田　浩司
日本文化講義７,27425,0,5,2,小林　恭二
日本文化講義８,27426,1,5,2,小林　恭二
日本文学概論１,27400,0,4,3,蔦尾　和宏
日本文学概論２,27401,1,4,2,奴田原　諭
日本文学研究１,27427,0,4,1,大浦　誠士
日本文学研究２,27428,1,4,1,大浦　誠士
日本文学研究３,27429,0,5,2,蔦尾　和宏
日本文学研究４,27430,1,5,2,蔦尾　和宏
日本文学研究５,27431,0,4,3,今井　上
日本文学研究６,27432,1,4,3,今井　上
日本文学研究７,27433,0,3,2,鈴木　愛理
日本文学研究８,27434,1,3,2,鈴木　愛理
日本文学講義１,27402,0,3,1,大浦　誠士
日本文学講義２,27403,1,3,1,大浦　誠士
日本文学講義３,27404,0,1,2,今井　上
日本文学講義４,27405,1,1,2,今井　上
日本文学講義５,27406,0,5,5,山口　政幸
日本文学講義６,27407,1,5,5,山口　政幸
日本文学講読,27424,1,5,4,丸井　貴史
日本文学講読１,27422,0,5,4,丸井　貴史
日本文学講読２,27423,1,5,4,丸井　貴史
日本文学通史１,27443,0,4,2,今井　上
日本文学通史２,27444,1,4,2,山口　政幸
農村環境学１,30033,0,4,2,吉田　国光
農村環境学２,30034,1,4,3,吉田　国光
博物館概論,38301,0,6,3,内田　欽三
博物館教育論,38309,1,6,2,水本　和美
博物館経営論,38321,0,6,1,水本　和美
博物館資料保存論,38327,0,6,2,水本　和美
博物館資料論,38302,1,6,3,内田　欽三
博物館実習　（前期）高島裕之・（後期）内田欽三,38355,,5,1,内田　欽三 高島　裕之
博物館実習　（前期）内田欽三・（後期）高島裕之,38356,,5,1,高島　裕之 内田　欽三
博物館実習　（前期）高島裕之・（後期）内田欽三,38357,,5,2,内田　欽三 高島　裕之
博物館実習　（前期）内田欽三・（後期）高島裕之,38358,,5,2,高島　裕之 内田　欽三
博物館実習　（前期）高島裕之・（後期）内田欽三,38359,,6,1,内田　欽三 高島　裕之
博物館実習　（前期）内田欽三・（後期）高島裕之,38360,,6,1,高島　裕之 内田　欽三
博物館実習　（前期）高島裕之・（後期）内田欽三,38361,,6,2,内田　欽三 高島　裕之
博物館実習　（前期）内田欽三・（後期）高島裕之,38362,,6,2,高島　裕之 内田　欽三
博物館情報・メディア論,38335,1,6,1,水本　和美
博物館展示論,38331,1,6,3,高島　裕之
はじめての経営,11897,1,1,1,間嶋　崇
はじめての経営,11898,0,2,1,蔡　イン錫
パフォーマンス論,29060,0,2,1,貫　成人
パブリックメディア論,30560,0,4,1,津山　恵子
比較文化研究１,27459,0,1,2,宇野　瑞木
比較文化研究２,27460,1,1,2,宇野　瑞木
比較文学研究１,27439,0,5,3,丸井　貴史
比較文学研究２,27440,1,5,3,丸井　貴史
東アジア関係論１,29560,0,5,3,田中　正敬
東アジア関係論２,29561,1,5,3,田中　正敬
東アジア考古学１,29580,0,2,2,山本　孝文
東アジア考古学２,29581,1,2,2,山本　孝文
ビジュアル文化論,27418,0,4,4,石田　美紀
美術史ａ,38313,0,5,5,内田　欽三
美術史ｂ,38314,1,5,5,内田　欽三
美術論１,29040,0,3,4,島津　京
美術論２,29041,1,3,4,島津　京
ＰＲ論,30567,1,1,4,平井　信太郎
フェミニズム思想,29062,0,3,1,梁・永山　聡子
フォト・ジャーナリズム論,30544,0,2,2,山田　健太
フランス語初級１ａ,16065,0,1,2,浦山　健太郎
フランス語初級１ａ,16067,0,1,2,根岸　知生
フランス語初級１ａ,16069,0,1,3,浦山　健太郎
フランス語初級１ａ,16071,0,1,3,根岸　知生
フランス語初級１ａ,16073,0,1,3,山口　俊洋
フランス語初級１ａ,16075,0,1,3,リフキ，ハフサ
フランス語初級１ａ（再）,16103,0,1,2,鈴木　暁
フランス語初級１ａ（再）,16111,0,3,3,リフキ，ハフサ
フランス語初級１ｂ,16066,1,1,2,浦山　健太郎
フランス語初級１ｂ,16068,1,1,2,根岸　知生
フランス語初級１ｂ,16070,1,1,3,浦山　健太郎
フランス語初級１ｂ,16072,1,1,3,根岸　知生
フランス語初級１ｂ,16074,1,1,3,山口　俊洋
フランス語初級１ｂ,16076,1,1,3,リフキ，ハフサ
フランス語初級１ｂ（再）,16107,1,1,2,鈴木　暁
フランス語初級１ｂ（再）,16115,1,3,3,リフキ，ハフサ
フランス語初級１ｂ（再）,16117,0,4,2,尾崎　文太
フランス語初級２ａ,16089,0,5,1,ブロシェヌ，フィリップ
フランス語初級２ａ,16091,0,5,1,江島　宏隆
フランス語初級２ａ,16093,0,5,2,江島　宏隆
フランス語初級２ａ,16097,0,5,3,江島　宏隆
フランス語初級２ａ,16099,0,5,3,セブラン，ミカエル
フランス語初級２ａ（再）,16119,0,1,3,鈴木　暁
フランス語初級２ａ（再）,16123,0,2,2,根岸　知生
フランス語初級２ｂ,16090,1,5,1,ブロシェヌ，フィリップ
フランス語初級２ｂ,16092,1,5,1,江島　宏隆
フランス語初級２ｂ,16094,1,5,2,江島　宏隆
フランス語初級２ｂ,16098,1,5,3,江島　宏隆
フランス語初級２ｂ,16100,1,5,3,セブラン，ミカエル
フランス語初級２ｂ（再）,16121,1,1,3,鈴木　暁
フランス語初級２ｂ（再）,16125,1,2,2,根岸　知生
フランス語初級２ｂ（再）,16127,0,1,4,鈴木　暁
フランス語上級１ａ,16691,0,2,4,根岸　知生
フランス語上級１ｂ,16692,1,2,4,根岸　知生
フランス語中級１ａ,16553,0,1,2,山口　俊洋
フランス語中級１ａ,16557,0,2,3,根岸　知生
フランス語中級１ａ,16561,0,3,4,リフキ，ハフサ
フランス語中級２ａ,16565,0,3,2,浦山　健太郎
フランス語中級２ａ,16569,0,5,2,セブラン，ミカエル
フランス語中級２ａ,16573,0,4,3,山口　俊洋
フランス語中級２ｂ,16567,1,3,2,浦山　健太郎
フランス語中級２ｂ,16571,1,5,2,セブラン，ミカエル
フランス語中級２ｂ,16575,1,4,3,山口　俊洋
フランス語中級１ｂ,16555,1,1,2,山口　俊洋
フランス語中級１ｂ,16559,1,2,3,根岸　知生
フランス語中級１ｂ,16563,1,3,4,リフキ，ハフサ
物理学１ａ,12432,0,4,2,小田切　健太
物理学１ａ,12435,0,4,3,水崎　高浩
物理学１ｂ,12438,1,4,2,小田切　健太
物理学１ｂ,12441,1,4,3,水崎　高浩
物理学２ａ,12444,0,4,1,水崎　高浩
物理学２ａ,12447,0,4,2,水崎　高浩
物理学２ｂ,12450,1,4,1,水崎　高浩
物理学２ｂ,12453,1,4,2,水崎　高浩
物理学Ａ１,12431,0,4,2,小田切　健太
物理学Ａ１,12434,0,4,3,水崎　高浩
物理学Ａ２,12437,1,4,2,小田切　健太
物理学Ａ２,12440,1,4,3,水崎　高浩
物理学Ｂ１,12443,0,4,1,水崎　高浩
物理学Ｂ１,12446,0,4,2,水崎　高浩
物理学Ｂ２,12449,1,4,1,水崎　高浩
物理学Ｂ２,12452,1,4,2,水崎　高浩
文化情報資源論（図書館）,30622,0,3,1,橋元　博樹
文化情報資源論（博物館）,30625,0,5,4,高島　裕之
文化地理学,30056,0,2,1,吉野　裕
文化とコミュニケーション２,27047,1,4,4,藤本　かおる
文化の哲学２,29065,0,2,2,貫　成人
文学作品と英語表現,28174,0,5,2,大久保　譲
文学と現代世界,11764,1,5,4,江島　宏隆
文学と現代世界,11768,1,1,4,宮下　寛司
文学と現代世界,11772,1,5,4,丸井　憲
文学と現代世界,11776,1,3,3,岡村　正太郎
文学と現代世界,11780,1,3,4,黒木　朋興
文藝創作１,27441,0,1,3,小林　恭二
文藝創作２,27442,1,1,3,小林　恭二
プロジェクトＡ,30671,0,4,5,高島　裕之
プロジェクトＡ,30672,0,1,5,平井　信太郎
プロジェクトＡ,30673,0,3,5,村上　賢司
プロジェクトＡ,30674,0,4,4,三木　由希子
プロジェクトＡ,30675,0,1,5,平田　大輔
プロジェクトＡ,30676,0,1,5,渡辺　英次
プロジェクトＢ,30677,1,4,5,三木　由希子
プロジェクトＢ,30678,1,1,5,平井　信太郎
プロジェクトＢ,30679,1,3,5,村上　賢司
プロジェクトＢ,30680,1,4,3,高田　昌幸
プロジェクトＢ,30681,1,2,2,李　宇ヨン
プロジェクトＢ,30682,1,3,4,齋藤　実
米国・英語圏の文学と文化,28172,1,3,1,中垣　恒太郎
Basics of English (RL) 1a,14097,0,3,1,宮澤　信彦
Basics of English (RL) 1a,14099,0,3,1,飯塚　聡
Basics of English (RL) 1a,14121,0,3,2,和泉　周子
Basics of English (RL) 1a,14123,0,3,2,冨塚　博之
Basics of English (RL) 1b,14098,1,3,1,宮澤　信彦
Basics of English (RL) 1b,14100,1,3,1,飯塚　聡
Basics of English (RL) 1b,14122,1,3,2,和泉　周子
Basics of English (RL) 1b,14124,1,3,2,冨塚　博之
Basics of English (SW) 1a,14251,0,5,2,太田　由紀子
Basics of English (SW) 1a,14253,0,5,2,三田　良平
Basics of English (SW) 1a,14275,0,5,1,太田　由紀子
Basics of English (SW) 1a,14277,0,5,1,小川　真也
Basics of English (SW) 1b,14252,1,5,2,太田　由紀子
Basics of English (SW) 1b,14254,1,5,2,三田　良平
Basics of English (SW) 1b,14276,1,5,1,太田　由紀子
Basics of English (SW) 1b,14278,1,5,1,小川　真也
放送学,30530,1,2,2,松原　文枝
法と社会,11860,1,4,1,桶田　和子
法と社会,11862,1,5,5,田邊　宏康
ポップカルチャー論,29058,0,1,4,斎藤　文彦
マンガ論,30575,0,3,2,松本　淳
マンガ研究１,27457,0,5,1,岩下　朋世
マンガ研究２,27458,1,2,1,岩下　朋世
マーケティングベーシックス,11899,1,4,4,八島　明朗
南アジア関係論１,29562,0,2,2,志賀　美和子
南アジア関係論２,29563,1,2,2,志賀　美和子
民俗学ａ,38347,0,5,1,中里　亮平
民俗学ｂ,38348,1,5,1,中里　亮平
Media English 1,28162,0,5,1,日高　正司
Media English 2,28163,1,5,1,日高　正司
メディア技術の基礎,30578,1,1,1,星野　好晃
メディア批評,30540,1,4,4,高田　昌幸
メディアコンテンツ制作,30572,0,4,3,松本　淳
メディア・コミュニケーション史,30518,1,1,4,武田　徹
世論調査,30569,1,3,3,松岡　郁子
ヨーロッパの国家と民衆１,29564,0,1,2,松本　礼子
ヨーロッパの国家と民衆２,29565,1,1,2,松本　礼子
ライティング１,30553,1,1,4,三科　清一郎
ライティング２,30554,1,1,5,三科　清一郎
ライフステージと健康情報,30599,1,1,5,渡辺　英次
ラテン語入門１,29044,0,4,5,金澤　修
ラテン語入門２,29045,1,4,5,金澤　修
ラテン語文献講読１,29052,0,3,4,高橋　雅人
ラテン語文献講読２,29053,1,3,4,高橋　雅人
ラテン語文献講読３,29054,0,3,4,高橋　雅人
ラテン語文献講読４,29055,1,3,4,高橋　雅人
ラテン語文献講読５,29056,0,3,4,高橋　雅人
ラテン語文献講読６,29057,1,3,4,高橋　雅人
陸水学,30057,0,2,4,田林　雄
倫理学,11831,0,2,3,長谷川　徹
倫理学,11833,0,2,4,伊吹　浩一
倫理学,11835,0,1,4,金子　淳人
倫理学,11837,0,4,4,上村　佳史
倫理学,11839,1,2,4,伊吹　浩一
倫理学,11841,1,2,3,長谷川　徹
倫理学概論１,29006,0,1,4,佐藤　岳詩
倫理学概論２,29007,1,1,4,佐藤　岳詩
歴史環境学１,30035,0,1,3,三河　雅弘
歴史環境学２,30036,1,1,3,三河　雅弘
歴史と社会・文化,11794,0,2,3,莊　卓燐
歴史と社会・文化,11795,0,3,4,廣川　和花
歴史と社会・文化,11796,1,3,5,鬼嶋　淳
歴史と社会・文化,11797,0,3,5,日暮　美奈子
歴史と社会・文化,11798,1,2,3,莊　卓燐
歴史と地域・民衆,11784,0,4,5,中林　隆之
歴史と地域・民衆,11786,1,4,4,山元　貴尚
歴史と地域・民衆,11787,1,3,2,濱田　晋介
歴史と地域・民衆,11789,1,3,4,土屋　匠平
歴史と地域・民衆,11791,1,1,4,小川　道大
歴史と地域・民衆,11793,1,4,5,高橋　和雅
歴史の視点,11783,0,3,2,濱田　晋介
歴史の視点,11785,0,4,4,山元　貴尚
歴史の視点,11788,0,2,4,土屋　匠平
歴史の視点,11790,0,1,4,小川　道大
歴史の視点,11792,0,4,5,高橋　和雅
ロシア語初級１ａ,16369,0,1,3,原田　義也
ロシア語初級１ａ（再）,16370,0,1,3,原田　義也
ロシア語初級１ａ（再）,16376,0,1,5,原田　義也
ロシア語初級１ｂ,16372,1,1,3,原田　義也
ロシア語初級１ｂ（再）,16373,1,1,3,原田　義也
ロシア語初級１ｂ（再）,16379,1,1,5,原田　義也
ロシア語初級２ａ（再）,16382,0,5,1,原田　義也
ロシア語初級２ａ,16387,0,4,5,桜井　厚二
ロシア語初級２ａ（再）,16388,0,4,5,桜井　厚二
ロシア語初級２ｂ（再）,16385,1,5,1,原田　義也
ロシア語初級２ｂ,16390,1,4,5,桜井　厚二
ロシア語初級２ｂ（再）,16391,1,4,5,桜井　厚二
ロシア語上級１ａ,15496,0,1,5,青山　忠申
ロシア語上級１ａ,16697,0,5,5,原田　義也
ロシア語上級１ｂ,15497,1,1,5,青山　忠申
ロシア語上級１ｂ,16698,1,5,5,原田　義也
ロシア語中級１ａ,16641,0,5,2,原田　義也
ロシア語中級１ｂ,16643,1,5,2,原田　義也
ロシア語中級２ａ,16645,0,4,4,桜井　厚二
ロシア語中級２ｂ,16647,1,4,4,桜井　厚二
論理の哲学,29063,0,5,3,小島　明彦
論理学概論１,29008,0,2,2,小島　明彦
論理学概論２,29009,1,2,2,小島　明彦
論理学入門,11843,0,2,4,小島　明彦
論理学入門,11847,1,5,4,木原　弘行